Gene ID	CCDS ID
ENSMUSG00000022201	CCDS37044
ENSMUSG00000089806	
ENSMUSG00000039865	
ENSMUSG00000017307	
ENSMUSG00000100068	
ENSMUSG00000100912	
ENSMUSG00000111464	
ENSMUSG00000090244	
ENSMUSG00000028096	
ENSMUSG00000017307	
ENSMUSG00000028096	
ENSMUSG00000101901	
ENSMUSG00000021200	CCDS26128
ENSMUSG00000020741	
ENSMUSG00000108887	
ENSMUSG00000090812	
ENSMUSG00000105614	
ENSMUSG00000028096	
ENSMUSG00000109261	
ENSMUSG00000020741	
ENSMUSG00000101556	
ENSMUSG00000090812	
ENSMUSG00000018474	
ENSMUSG00000021200	
ENSMUSG00000020741	
ENSMUSG00000103828	
ENSMUSG00000099420	CCDS57285
ENSMUSG00000050373	
ENSMUSG00000090812	CCDS70409
ENSMUSG00000082841	
ENSMUSG00000021200	
ENSMUSG00000018474	
ENSMUSG00000084085	
ENSMUSG00000090812	
ENSMUSG00000084085	
ENSMUSG00000021200	
ENSMUSG00000050373	
ENSMUSG00000090185	
ENSMUSG00000022722	CCDS28259
ENSMUSG00000061959	CCDS22529
ENSMUSG00000031173	CCDS30015
ENSMUSG00000022722	
ENSMUSG00000050373	CCDS38328
ENSMUSG00000016458	CCDS16496
ENSMUSG00000037884	
ENSMUSG00000037486	
ENSMUSG00000031173	
ENSMUSG00000022722	
ENSMUSG00000036552	CCDS28410
ENSMUSG00000037884	
ENSMUSG00000061959	
ENSMUSG00000037486	
ENSMUSG00000050373	
ENSMUSG00000022722	
ENSMUSG00000050373	
ENSMUSG00000016458	
ENSMUSG00000061959	
ENSMUSG00000050373	
ENSMUSG00000062542	
ENSMUSG00000037486	CCDS36395
ENSMUSG00000050373	
ENSMUSG00000082115	
ENSMUSG00000102085	
ENSMUSG00000016458	
ENSMUSG00000053158	CCDS39999
ENSMUSG00000102085	
ENSMUSG00000037486	
ENSMUSG00000000555	CCDS27903
ENSMUSG00000096318	
ENSMUSG00000061928	CCDS29081
ENSMUSG00000016319	CCDS30062
ENSMUSG00000109083	
ENSMUSG00000036552	CCDS49960
ENSMUSG00000037486	
ENSMUSG00000016319	
ENSMUSG00000109083	
ENSMUSG00000109083	
ENSMUSG00000016458	
ENSMUSG00000016319	
ENSMUSG00000006134	CCDS28002
ENSMUSG00000037486	
ENSMUSG00000109083	
ENSMUSG00000062542	
ENSMUSG00000039934	
ENSMUSG00000109083	
ENSMUSG00000037486	
ENSMUSG00000036552	CCDS37451
ENSMUSG00000045822	CCDS17058
ENSMUSG00000109083	
ENSMUSG00000016458	
ENSMUSG00000071001	CCDS51169
ENSMUSG00000038298	
ENSMUSG00000053158	
ENSMUSG00000109083	
ENSMUSG00000016458	
ENSMUSG00000038507	CCDS20019
ENSMUSG00000016458	
ENSMUSG00000109083	
ENSMUSG00000068141	
ENSMUSG00000109083	
ENSMUSG00000093990	
ENSMUSG00000053158	
ENSMUSG00000036552	CCDS49962
ENSMUSG00000038507	
ENSMUSG00000109083	
ENSMUSG00000095484	
ENSMUSG00000062542	CCDS40078
ENSMUSG00000109083	
ENSMUSG00000089690	
ENSMUSG00000016458	
ENSMUSG00000100536	
ENSMUSG00000109083	
ENSMUSG00000016458	
