Gene ID	Associated Gene Name	EntrezGene ID	Version (gene)
ENSG00000207652	MIR621	693206	1
ENSG00000168852	TPTE2P5	100616668	8
ENSG00000233917	POTEB	100996331	4
ENSG00000233917	POTEB	100288966	4
ENSG00000233917	POTEB	100287399	4
ENSG00000233917	POTEB	317754	4
ENSG00000166157	TPTE	7179	12
ENSG00000260245	ACLY	47	1
ENSG00000176268	CYCSP34		5
ENSG00000239827	SUGT1P3	283507	4
ENSG00000229473	RGS17P1		2
ENSG00000264226	MIR3168	100422878	1
ENSG00000199698	Y_RNA		1
ENSG00000244264	RN7SL597P		2
ENSG00000227716	AP000459.7		1
ENSG00000215482	CALM2P3		3
ENSG00000231986	AP000474.1		1
ENSG00000238651	snoU13		1
ENSG00000225133	MORF4L1P4		1
ENSG00000235564	AP000477.2		1
ENSG00000231404	RAC1P3		2
ENSG00000226996	AP000477.3		1
ENSG00000264695	RP11-178F10.2		1
ENSG00000223280	RNU6-57P	100873765	1
ENSG00000224018	AP000470.2		1
ENSG00000266489	RP11-178F10.3		1
ENSG00000214222	TUBBP2		2
ENSG00000224832	AP000469.2	101927869	1
ENSG00000266181	RP11-178F10.4		1
ENSG00000205240	OR7E36P	100506759	3
ENSG00000237484	AP000476.1		5
ENSG00000265485	RP11-449D8.1	729950	1
ENSG00000234655	OR7E155P		2
ENSG00000263553	RP11-449D8.2		1
ENSG00000266520	RAC1P1		1
ENSG00000215480	OR7E37P		3
ENSG00000266809	RP11-449D8.3		1
ENSG00000263907	AL354833.1		1
ENSG00000266573	RP11-449D8.5		1
ENSG00000263928	AL354833.2		1
ENSG00000264042	AL354833.3		1
ENSG00000264190	MIR5006	100847026	1
ENSG00000241406	RN7SL515P		2
ENSG00000206962	RNU6-74P		1
ENSG00000264345	RP11-958F21.1		1
ENSG00000229696	KARSP1		1
ENSG00000229248	WBP2P1		1
ENSG00000226093	RPS28P8		1
ENSG00000231530	RP11-187A9.3		1
ENSG00000265552	RP11-958F21.3		1
ENSG00000237263	MAPK6PS3		1
ENSG00000264434	CTD-2006O16.2		1
ENSG00000265679	AL139328.1		1
ENSG00000242216	RN7SL97P		2
ENSG00000270809	CHCHD2P11		1
ENSG00000264193	RP11-737G21.1		1
ENSG00000234213	FHP1		1
ENSG00000243925	RPS24P18		1
ENSG00000260703	TTC25	83538	1
ENSG00000233259	FABP3P2		3
ENSG00000188985	DHFRP1		5
ENSG00000271216	LINC01050		1
ENSG00000229546	LINC00428		1
ENSG00000266227	NPM1P2		1
ENSG00000238025	ZDHHC4P1		1
ENSG00000256715	AL050302.1		1
ENSG00000263829	FAM60BP		1
ENSG00000229928	LINC00400		1
ENSG00000232540	RPL36P19		1
ENSG00000266237	RP11-25D3.1		1
ENSG00000238189	ENOX1-AS2		1
ENSG00000252921	U3		1
ENSG00000233821	ENOX1-AS1		1
ENSG00000264911	RP11-107K17.2		1
ENSG00000270522	RP11-168P13.1		1
ENSG00000207160	RNU6-1289P		1
ENSG00000263862	RP11-107K17.1		1
ENSG00000166351	POTED	388468	6
ENSG00000166351	POTED	339010	6
ENSG00000166351	POTED	317754	6
ENSG00000252846	AC090206.1		1
ENSG00000233725	LINC00284	121838	3
ENSG00000263846	CIAPIN1P		1
ENSG00000260283	CNP	1267	1
ENSG00000269011	AL050303.1		1
ENSG00000260372	AQP4-AS1	147429	2
ENSG00000179611	DGKZP1		2
ENSG00000168675	LDLRAD4	753	14
ENSG00000226519	LINC00390		1
ENSG00000227258	SMIM2-AS1	101929212	1
ENSG00000265369	U3	728606	2
ENSG00000235285	SMIM2-IT1	100874377	1
ENSG00000263677	RP11-17A19.2		1
ENSG00000230731	RP11-478K15.6		2
ENSG00000263382	RP11-552O4.1		1
ENSG00000237361	LINC01071	400128	2
ENSG00000266184	RP11-552O4.2		1
ENSG00000266549	RP11-526I8.2		1
ENSG00000225727	RP11-71C5.2		2
ENSG00000265374	RP11-57J16.1		1
ENSG00000262684	DNAJC7	7266	2
ENSG00000230793	SMARCE1P5		1
ENSG00000188992	LIPI	149998	7
ENSG00000238932	snoU13		1
ENSG00000237585	LINC00407		1
ENSG00000235097	LINC00330	144817	1
ENSG00000223732	RP11-321C24.1		2
ENSG00000265802	RN7SL49P		1
ENSG00000223341	RN7SKP3		1
ENSG00000271818	7SK		1
